10000,0.000355
20000,0.000663
30000,0.000668
40000,0.001146
50000,0.001206
60000,0.001522
70000,0.001410
80000,0.002593
90000,0.002769
100000,0.002525
110000,0.002816
120000,0.003153
130000,0.002942
140000,0.003125
150000,0.004876
160000,0.004764
170000,0.005149
180000,0.005443
190000,0.007075
200000,0.006467
210000,0.007340
220000,0.006321
230000,0.006521
240000,0.006669
250000,0.006653
260000,0.007227
270000,0.006607
280000,0.006907
290000,0.010206
300000,0.010767
310000,0.009535
320000,0.010539
330000,0.009445
340000,0.010884
350000,0.012363
360000,0.011501
370000,0.013053
380000,0.010780
390000,0.011150
400000,0.010801
410000,0.011302
420000,0.012432
430000,0.011464
440000,0.011583
450000,0.012135
460000,0.011200
470000,0.012769
480000,0.011663
490000,0.012642
500000,0.013201
510000,0.012056
520000,0.013180
530000,0.013689
540000,0.013726
550000,0.014479
560000,0.014222
570000,0.014781
580000,0.018641
590000,0.019225
600000,0.021877
610000,0.019180
620000,0.020751
630000,0.019640
640000,0.020904
650000,0.019811
660000,0.020630
670000,0.022743
680000,0.020229
690000,0.020456
700000,0.021133
710000,0.022772
720000,0.020258
730000,0.022958
740000,0.024535
750000,0.021859
760000,0.023892
770000,0.025494
780000,0.023910
790000,0.024807
800000,0.026523
810000,0.023323
820000,0.023603
830000,0.024478
840000,0.025142
850000,0.023479
860000,0.025802
870000,0.028046
880000,0.023804
890000,0.025914
900000,0.026134
910000,0.026381
920000,0.025887
930000,0.025293
940000,0.025213
950000,0.027373
960000,0.027864
970000,0.026416
980000,0.025188
990000,0.027534
1000000,0.026302
